Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
12/03/2021 12:00:00 AM,18 - 24 Years,33.67820357,0.692,0.579
12/03/2021 12:00:00 AM,25 - 39 Years,38.90511588,0.73,0.621
12/03/2021 12:00:00 AM,40 - 49 Years,35.23651646,0.81,0.705
12/03/2021 12:00:00 AM,50 - 64 Years,29.07783634,0.881,0.776
12/03/2021 12:00:00 AM,65 - 74 Years,19.09217112,0.95,0.894
12/03/2021 12:00:00 AM,75+ Years,21.63271652,0.95,0.841
12/02/2021 12:00:00 AM,5 - 11 Years,35.09143349,0.173,0.044
12/02/2021 12:00:00 AM,12 - 17 Years,30.31843199,0.617,0.521
12/02/2021 12:00:00 AM,18 - 24 Years,31.95082529,0.691,0.578
12/02/2021 12:00:00 AM,25 - 39 Years,37.29454443,0.729,0.621
12/02/2021 12:00:00 AM,40 - 49 Years,34.0208655,0.808,0.704
