week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2021-08-09,Nevada,1408,0.002130681818181818,0,0,0.9893465909090909,0,0.008522727272727293
2021-08-23,Nevada,1587,0,0,0,0.9974795211090107,0,0.002520478890989275
2021-09-06,Nevada,1674,5.973715651135006e-4,0,0,0.9994026284348865,0,0
2021-09-20,Nevada,1949,0,0,0,1,0,0
2021-10-04,Nevada,1400,0,0,0,1,0,0
2021-10-18,Nevada,1591,0,0,0,1,0,0
2021-11-01,Nevada,1486,0,0,0,0.9973082099596231,0,0.0026917900403768957
2021-11-15,Nevada,1093,0,0,0,0.9981701738334858,0,0.0018298261665141702
2021-11-29,Nevada,1236,0,0,0,0.9878640776699029,0.012135922330097087,-5.204170427930421e-18
2021-12-13,Nevada,1200,0,0,0,0.54,0.45916666666666667,8.333333333332971e-4
2021-12-27,Nevada,1496,0,0,0,0.10561497326203209,0.8943850267379679,0
2022-01-10,Nevada,1131,0,0,0,0.011494252873563218,0.9885057471264368,0
2022-01-24,Nevada,1497,0,0,0,0.006012024048096192,0.9939879759519038,0
2022-02-07,Nevada,718,0,0,0,0,1,0
2022-02-21,Nevada,359,0,0,0,0,0.9944289693593314,0.005571030640668551
2022-03-07,Nevada,92,0,0,0,0,1,0
2020-04-27,New Mexico,163,0,0,0,0,0,1
2020-05-11,New Mexico,97,0,0,0,0,0,1
2020-05-25,New Mexico,15,0,0,0,0,0,1
2020-06-08,New Mexico,56,0,0,0,0,0,1
2020-06-22,New Mexico,34,0,0,0,0,0,1
2020-07-06,New Mexico,29,0,0,0,0,0,1
2020-07-20,New Mexico,114,0,0,0,0,0,1
2020-08-03,New Mexico,72,0,0,0,0,0,1
2020-08-17,New Mexico,192,0,0,0,0,0,1
2020-08-31,New Mexico,121,0,0,0,0,0,1
2020-09-14,New Mexico,1,0,0,0,0,0,1
2020-09-28,New Mexico,7,0,0,0,0,0,1
2020-10-12,New Mexico,57,0,0,0,0,0,1
2020-10-26,New Mexico,290,0,0,0,0,0,1
2020-11-09,New Mexico,148,0,0,0,0,0,1
2020-11-23,New Mexico,2,0,0,0,0,0,1
2020-12-07,New Mexico,86,0,0,0,0,0,1
2020-12-21,New Mexico,416,0.009615384615384616,0,0,0,0,0.9903846153846154
2021-01-11,New Mexico,512,0,0,0,0,0,1
2021-01-25,New Mexico,347,0.002881844380403458,0,0,0,0,0.9971181556195965
2021-02-08,New Mexico,261,0.022988505747126436,0,0,0,0,0.9770114942528736
2021-02-22,New Mexico,643,0.328149300155521,0,0,0,0,0.671850699844479
2021-03-08,New Mexico,486,0.23251028806584362,0,0,0,0,0.7674897119341564
2021-03-22,New Mexico,492,0.44715447154471544,0,0.014227642276422764,0,0,0.5386178861788617
2021-04-05,New Mexico,367,0.5667574931880109,0.010899182561307902,0.02452316076294278,0,0,0.3978201634877384
2021-04-19,New Mexico,422,0.6824644549763034,0,0.03317535545023697,0.009478672985781991,0,0.2748815165876777
2021-05-03,New Mexico,470,0.6574468085106383,0,0.04042553191489362,0.03404255319148936,0,0.2680851063829787
2021-05-17,New Mexico,271,0.7933579335793358,0.007380073800738007,0.04059040590405904,0.025830258302583026,0,0.13284132841328408
2021-05-31,New Mexico,300,0.6666666666666666,0,0.023333333333333334,0.12,0,0.19000000000000003
2021-06-14,New Mexico,222,0.5180180180180181,0,0.05855855855855856,0.2882882882882883,0,0.1351351351351351
2021-06-28,New Mexico,277,0.23104693140794225,0,0.02888086642599278,0.6787003610108303,0,0.06137184115523472
